emp_no,first_name,last_name,birth_date,from_date,to_date,title
255657,Oldrich,Cyre,1/20/65,2/10/85,1/1/99,Senior Engineer
423633,Mariusz,Tokunaga,1/30/65,2/11/85,1/1/99,Senior Engineer
469867,Hein,Jonsson,1/23/65,2/12/85,1/1/99,Senior Staff
37070,Jeong,Undy,1/22/65,2/13/85,1/1/99,Staff
403010,Toshimitsu,Sluis,1/16/65,2/18/85,1/1/99,Senior Engineer
50670,Boguslaw,Snedden,1/30/65,2/20/85,1/1/99,Senior Staff
418309,Danel,Petereit,1/24/65,2/21/85,1/1/99,Engineer
53597,Jiafu,Marchegay,1/30/65,3/2/85,1/1/99,Engineer
67934,Aiman,Gargeya,1/7/65,3/7/85,1/1/99,Engineer
289454,Bowen,Narwekar,1/20/65,3/8/85,1/1/99,Senior Engineer
216375,Byong,Gustavson,1/16/65,3/12/85,1/1/99,Senior Engineer
445152,Heping,Peac,1/9/65,3/20/85,1/1/99,Staff
458134,Thanasis,Standera,1/11/65,3/20/85,1/1/99,Senior Staff
208784,Pranjal,Juneja,1/30/65,3/21/85,1/1/99,Senior Engineer
89048,Otmar,Birjandi,1/24/65,3/23/85,1/1/99,Engineer
211858,Domenico,Ratnaker,1/8/65,3/24/85,1/1/99,Senior Engineer
204246,Arve,Worfolk,1/9/65,4/1/85,1/1/99,Senior Staff
240340,Mack,Staylopatis,1/14/65,4/2/85,1/1/99,Engineer
88422,Jungsoon,Birsak,1/28/65,4/3/85,1/1/99,Technique Leader
263926,Fusako,Schwartzbauer,1/3/65,4/7/85,1/1/99,Senior Staff
236591,Insup,Reinhard,1/11/65,4/8/85,1/1/99,Senior Staff
64790,Shin,Piveteau,1/29/65,4/19/85,1/1/99,Engineer
465076,Tokuyasu,Ghelli,1/19/65,5/5/85,1/1/99,Engineer
39341,Mahmut,Lampe,1/1/65,5/11/85,1/1/99,Engineer
40283,Sudhanshu,Boissier,1/7/65,5/11/85,1/1/99,Engineer
457489,Berna,Ranst,1/24/65,5/14/85,1/1/99,Senior Engineer
86546,Oldrich,Woycyznski,1/9/65,5/15/85,1/1/99,Engineer
424797,Theron,Itschner,1/19/65,5/16/85,1/1/99,Senior Staff
52038,Chikako,Armand,1/13/65,5/18/85,1/1/99,Senior Engineer
299737,Patricio,Itzfeldt,2/1/65,5/21/85,1/1/99,Senior Staff
78871,Conor,Ghandeharizadeh,1/15/65,5/25/85,1/1/99,Senior Engineer
420086,Susuma,Kitsuregawa,1/27/65,5/28/85,1/1/99,Engineer
465874,Herb,Picht,1/12/65,5/31/85,1/1/99,Engineer
248351,Jaana,Milicia,2/1/65,6/2/85,1/1/99,Senior Staff
434845,Takushi,Skogmar,1/11/65,6/7/85,1/1/99,Staff
420476,Mariangiola,Bolsens,1/28/65,6/15/85,1/1/99,Staff
